region_id,region,count,cp_fluent_mean,cp_f3_mean,cp_ratio_mean,p_fluent_mean,p_f3_mean,p_ratio_mean,q_fluent_mean,q_f3_mean,q_ratio_mean,phi_mean_deg,w_tr_mean
0,nose,5759,0.1661251012963024,0.4638006385207582,4.030926009046522,6075.981976750998,14864.145479783445,3.092723803646125,151577.9768575534,394088.1973861623,2.7834611601726644,19.129880528581335,0.047056780691092204
1,leading_edge,2770,0.11692292153950112,0.44075857801571366,4.870646318369867,4623.404433967148,14183.883349232865,3.477554060146648,154776.6656855668,198937.38978234038,1.828108351979535,18.597024124074352,0.3191335740072202
2,windward_body,666,0.05609090462539658,0.4071511957775519,7.27874087414749,2827.4835603708707,13191.705178424107,4.667359929468241,65478.25845186186,287337.1180634265,4.607867207387157,17.879707398549428,0.9984984984984985
3,aft_body,653,0.05658532293718835,0.41678783616878,7.374872529990845,2842.0800871914244,13476.204106914094,4.744089989555984,65421.85643076571,246568.08658948212,3.818395160261212,18.118313810548923,1.0
4,wingtip,568,0.05288401848137406,0.41016171864069023,7.815901237503042,2732.8078606742956,13280.583718453174,4.868092263009915,102073.62877709507,143082.54138125945,1.4436077178128048,17.93840371507433,0.09154929577464789
