region_id,region,count,cp_fluent_mean,cp_f3_mean,cp_ratio_mean,p_fluent_mean,p_f3_mean,p_ratio_mean,q_fluent_mean,q_f3_mean,q_ratio_mean,phi_mean_deg
0,true_nose_cap,3530,0.20446942005571725,0.4441655376928095,2.9650359807980657,7208.006952038243,14284.465744984045,2.455536099194509,165104.5919182068,540397.4669440651,3.4265575285420744,18.724208347125455
2,leading_edge_near,5264,0.10822632167407223,0.4571894271888482,5.375527944499503,4366.657970181611,14668.965161374825,3.7921440026036146,144555.00983029066,173678.80954026742,1.5724425636285728,18.953567071330387
4,aft_body,653,0.05658532293718835,0.41678783616878,7.374872529990845,2842.0800871914244,13476.204106914094,4.744089989555984,65421.85643076571,246568.08658948212,3.818395160261212,18.118313810548923
5,windward_body,969,0.05831290600491229,0.434999172489805,7.460795047476624,2893.0828756831784,14013.85057491124,4.8374311561998855,61401.95327975233,280082.13709625596,4.757003064562304,18.484628169810094
