model,cp_rmse,cp_mae,cp_ratio,p_rmse,p_mae,p_ratio
baseline_Busemann,0.3380674547484126,0.32500265678954565,4.877943382791036,9980.638970487053,9594.931828855078,3.4960877509024377
A_global_scale,0.10895895779527497,0.07161536464129101,1.4471532360788666,3216.7545413813045,2114.2736136976982,1.2381207606983922
B_x_relaxation,0.0917636098910619,0.060756964077867334,1.3338915470356278,2709.1027192572546,1793.7051167948666,1.2056607853125756
C_region_relax,0.10066651570897386,0.05504724147190639,1.0,2971.9398764836264,1625.1391127288025,0.9633828820817184
D_newtonian_fit,0.1104512351140327,0.0682111035057056,1.1787306716135788,3260.810486291623,2013.770885977801,1.0595087137943349
E_linear_reg,0.09231171484077198,0.053345453783756824,1.2347892216476355,2725.2842166009254,1574.897871576262,1.1334105820004357
