point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,leeward,-1,8.0,20.0,70.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,215.60027872634728,414256.9858954037
1,leeward,-1,8.0,20.0,70.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,863.1081922710478,408202.5249586449
2,leeward,-1,8.0,20.0,70.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,1674.7286596944411,396812.3603925101
3,leeward,-1,8.0,20.0,70.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,2547.333179463379,398668.8905037054
4,leeward,-1,8.0,20.0,70.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,3440.2218778301426,399648.8336047132
5,leeward,-1,8.0,20.0,70.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,4483.992196829884,406603.28349952673
6,leeward,-1,8.0,20.0,70.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,5380.790636195862,406603.28349952673
7,leeward,-1,8.0,20.0,70.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,6277.589075561838,406603.28349952673
8,leeward,-1,8.0,20.0,70.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,7174.387514927816,406603.28349952673
9,leeward,-1,8.0,20.0,70.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,8071.185954293791,406603.28349952673
10,leeward,-1,8.0,20.0,70.0,300.0,0.44917394395543314,0.0,0.125,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,8967.984393659768,406603.28349952673
11,leeward,-1,8.0,20.0,70.0,300.0,0.49417145904178417,0.0,0.1375,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,9864.782833025747,406603.28349952673
12,leeward,-1,8.0,20.0,70.0,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,10761.581272391724,406603.28349952673
13,leeward,-1,8.0,20.0,70.0,300.0,0.584166489214486,0.0,0.1625,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,11658.379711757698,406603.28349952673
14,leeward,-1,8.0,20.0,70.0,300.0,0.629164004300837,0.0,0.17500000000000002,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,12555.178151123673,406603.28349952673
15,leeward,-1,8.0,20.0,70.0,300.0,0.6741615193871879,0.0,0.1875,0.0,1,250.63060834713693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005270952521435995,69.38106928838923,0.0,13451.976590489652,406603.28349952673
