x_m,span_m,side,p_fluent_Pa,p_f3_Pa,p_residual_Pa,q_fluent_W_m2,q_f3_W_m2,q_residual_W_m2,cp_f3,phi_f3_rad,T_e_K,rho_e_kg_m3,ma_e,v_e_m_s,w_tr,q_lam,q_turb
-0.0089005719,0.02865207573007559,1,969.6939181,4882.000936458435,-3912.307018358435,115761.4101,568033.9943737086,-452272.58427370864,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008904943428,0.02865103933623249,1,968.49315,4882.000936458435,-3913.5077864584346,115035.3669,568033.9943737086,-452998.6274737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008909060261,0.028650046796356368,1,967.4136496,4882.000936458435,-3914.5872868584347,114679.8369,568033.9943737086,-453354.1574737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008912927124,0.028649280208497913,1,966.255642,4882.000936458435,-3915.7452944584347,114578.8395,568033.9943737086,-453455.1548737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008916514775,0.028648693076563595,1,965.0352763,4882.000936458435,-3916.9656601584347,114688.616,568033.9943737086,-453345.37837370863,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008919770291,0.028648099225248125,1,964.1035511,4882.000936458435,-3917.897385358435,114687.8014,568033.9943737086,-453346.1929737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008922772911,0.028647686104493617,1,963.3551328,4882.000936458435,-3918.645803658435,114805.9746,568033.9943737086,-453228.0197737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008925427948,0.028647301469623663,1,962.4541068,4882.000936458435,-3919.546829658435,114698.1532,568033.9943737086,-453335.8411737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008927833604,0.02864701487913424,1,961.0576496,4882.000936458435,-3920.943286858435,114460.9237,568033.9943737086,-453573.07067370863,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008929896302,0.02864678511823159,1,958.9442597,4882.000936458435,-3923.056676758435,114210.8618,568033.9943737086,-453823.1325737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
-0.008931719841,0.028646526784350788,1,956.8098146,4882.000936458435,-3925.1911218584346,114012.735,568033.9943737086,-454021.2593737086,1.4144904260751383,0.5627345990182011,2989.0115496744256,0.005690997154710458,1.1170652056398822,1224.1856585927146,0.0,231782.67231933816,265659.1674653829
