region_id,region,count,cp_fluent_mean,cp_f3_mean,cp_ratio_mean,p_ratio_mean,q_ratio_mean,phi_mean_deg
0,true_nose_cap,3530,0.2976188826699248,1.4329362734728448,5.961795515896521,6.385911035625126,4.263293575595193,32.421253497725715
2,leading_edge_near,5264,0.20803824911998123,1.4410511346236954,7.779324081629008,8.088638492881918,1.3725465814359965,32.47504843600427
4,aft_body,653,0.1443935043613134,1.3407367312170348,9.289855894149325,9.522197522951492,0.8680792366283357,31.48175243995348
5,windward_body,969,0.14976834732965888,1.4192391196990843,9.479650983715157,9.752321658307713,1.0679174474422106,32.2600376210615
