x_m,span_m,side,p_fluent_Pa,p_f3_Pa,p_residual_Pa,q_fluent_W_m2,q_f3_W_m2,q_residual_W_m2,cp_f3,phi_f3_rad,T_e_K,rho_e_kg_m3,ma_e,v_e_m_s,w_tr,q_lam,q_turb
-0.0089005719,0.02865207573007559,1,7752.101475,14050.736814233798,-6298.635339233798,178765.5749,745423.9212494486,-566658.3463494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008904943428,0.02865103933623249,1,7759.41663,14050.736814233798,-6291.3201842337985,175801.0506,745423.9212494486,-569622.8706494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008909060261,0.028650046796356368,1,7764.951691,14050.736814233798,-6285.785123233798,175136.707,745423.9212494486,-570287.2142494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008912927124,0.028649280208497913,1,7770.92404,14050.736814233798,-6279.812774233798,176773.9771,745423.9212494486,-568649.9441494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008916514775,0.028648693076563595,1,7780.253187,14050.736814233798,-6270.483627233798,179145.0648,745423.9212494486,-566278.8564494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008919770291,0.028648099225248125,1,7797.295095,14050.736814233798,-6253.441719233798,180665.1472,745423.9212494486,-564758.7740494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008922772911,0.028647686104493617,1,7818.510446,14050.736814233798,-6232.226368233798,181061.401,745423.9212494486,-564362.5202494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008925427948,0.028647301469623663,1,7834.396142,14050.736814233798,-6216.340672233799,179223.4354,745423.9212494486,-566200.4858494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008927833604,0.02864701487913424,1,7839.481211,14050.736814233798,-6211.255603233798,177579.4265,745423.9212494486,-567844.4947494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008929896302,0.02864678511823159,1,7836.480213,14050.736814233798,-6214.256601233798,178278.5189,745423.9212494486,-567145.4023494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008931719841,0.028646526784350788,1,7832.900136,14050.736814233798,-6217.836678233798,180283.6417,745423.9212494486,-565140.2795494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008933221552,0.028646410368347554,1,7831.688411,14050.736814233798,-6219.048403233798,182210.1262,745423.9212494486,-563213.7950494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.00893443377,0.028646257299725954,1,7837.659276,14050.736814233798,-6213.077538233798,182177.4718,745423.9212494486,-563246.4494494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.00893535001,0.028646248988419786,1,7844.267385,14050.736814233798,-6206.469429233798,180756.5358,745423.9212494486,-564667.3854494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008935971492,0.028646329189471794,1,7844.705069,14050.736814233798,-6206.031745233799,179234.437,745423.9212494486,-566189.4842494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008936275839,0.02864638982201602,1,7837.855111,14050.736814233798,-6212.881703233798,178836.3786,745423.9212494486,-566587.5426494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.008214924449,0.02886328251260569,1,7662.932069,14050.736814233798,-6387.804745233798,167807.3125,745423.9212494486,-577616.6087494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.007494945257,0.029085045729176275,1,7598.483549,14050.736814233798,-6452.253265233799,164893.601,745423.9212494486,-580530.3202494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.006738963409,0.029317902475342467,1,7548.070403,14050.736814233798,-6502.6664112337985,164282.5053,745423.9212494486,-581141.4159494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.005945178497,0.029562407832045633,1,7504.974796,14050.736814233798,-6545.762018233798,164936.9134,745423.9212494486,-580487.0078494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.005111698729,0.02981914516972212,1,7464.735864,14050.736814233798,-6586.000950233798,165749.1056,745423.9212494486,-579674.8156494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.004236541478,0.030088725817758857,1,7423.401667,14050.736814233798,-6627.335147233798,166364.2081,745423.9212494486,-579059.7131494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.00331762185,0.0303717925562187,1,7374.437314,14050.736814233798,-6676.299500233798,166787.7909,745423.9212494486,-578636.1303494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.002352750885,0.03066902035049438,1,7313.805276,14050.736814233798,-6736.931538233798,166809.5965,745423.9212494486,-578614.3247494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.001339630961,0.030981117682287364,1,7242.493752,14050.736814233798,-6808.243062233798,166409.4676,745423.9212494486,-579014.4536494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
-0.000275849085,0.03130882862941534,1,7154.513956,14050.736814233798,-6896.222858233798,165805.3566,745423.9212494486,-579618.5646494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
0.0008411282306,0.03165293447839522,1,7043.625716,14050.736814233798,-7007.111098233799,165371.5517,745423.9212494486,-580052.3695494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
0.002013961164,0.03201425556681264,1,6913.924125,14050.736814233798,-7136.812689233799,164427.4534,745423.9212494486,-580996.4678494486,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
0.003245442919,0.032393653299095014,1,6779.718057,14050.736814233798,-7271.018757233798,162585.5467,745423.9212494486,-582838.3745494485,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,344692.1957591762,711722.7337433513
0.004538506372,0.03279203218162213,1,6661.716859,14050.736814233798,-7389.019955233798,159857.9208,740808.2488747629,-580950.328074763,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.005896231062,0.033210341959299526,1,6577.740101,14050.736814233798,-7472.996713233798,157081.7949,740808.2488747629,-583726.4539747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.007321805899,0.03364943176075458,1,6534.383404,14050.736814233798,-7516.353410233798,154718.5909,740808.2488747629,-586089.6579747628,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.008818763608,0.034110330292229395,1,6527.266386,14050.736814233798,-7523.470428233798,153328.1085,740808.2488747629,-587480.1403747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.0103906273,0.03459424840023883,1,6545.72501,14050.736814233798,-7505.011804233798,153248.4418,740808.2488747629,-587559.8070747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.01204109371,0.03510237755199764,1,6567.179736,14050.736814233798,-7483.557078233798,154187.3533,740808.2488747629,-586620.895574763,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.01377409352,0.03563592916118241,1,6564.385621,14050.736814233798,-7486.351193233798,155657.7065,740808.2488747629,-585150.5423747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.01559375394,0.036196175212440944,1,6521.354755,14050.736814233798,-7529.382059233798,156967.8676,740808.2488747629,-583840.3812747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.01750441008,0.036784451906890336,1,6435.644693,14050.736814233798,-7615.092121233798,157799.5484,740808.2488747629,-583008.7004747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.01951061103,0.03740216145402587,1,6316.402779,14050.736814233798,-7734.334035233798,157597.2639,740808.2488747629,-583210.9849747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.02161711919,0.03805077103152088,1,6170.384043,14050.736814233798,-7880.352771233798,156410.8816,740808.2488747629,-584397.367274763,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.02382897841,0.03873183499360424,1,6017.2065,14050.736814233798,-8033.530314233798,154383.8795,740808.2488747629,-586424.3693747629,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
0.02615144474,0.03944697384047518,1,5864.871465,14050.736814233798,-8185.865349233798,153295.9624,740808.2488747629,-587512.286474763,0.43624859520511333,0.3239279312247761,670.38711936746,0.0730283588621569,2.9768469493997047,1544.9851284691297,0.0,345386.2670036367,712295.6369918943
