model,cp_rmse,cp_ratio,p_ratio,p_mae
baseline_Busemann,0.3380674547484126,4.877943382791036,3.4960877509024377,9594.931828855078
A_global_scale,0.10895895779527497,1.4471532360788666,1.2381207606983922,2114.2736136976982
B_x_relaxation,0.0917636098910619,1.3338915470356278,1.2056607853125756,1793.7051167948666
C_region_relax,0.10066651570897386,1.0,0.9633828820817184,1625.1391127288025
D_newtonian_fit,0.1104512351140327,1.1787306716135788,1.0595087137943349,2013.770885977801
E_linear_reg,0.09231171484077198,1.2347892216476355,1.1334105820004357,1574.897871576262
