ELLIPSE_T0P03_21PT
1.000000 0.000000
0.950000 0.006538
0.900000 0.009000
0.850000 0.010712
0.800000 0.012000
0.750000 0.012990
0.700000 0.013748
0.650000 0.014309
0.600000 0.014697
0.550000 0.014925
0.500000 0.015000
0.450000 0.014925
0.400000 0.014697
0.350000 0.014309
0.300000 0.013748
0.250000 0.012990
0.200000 0.012000
0.150000 0.010712
0.100000 0.009000
0.050000 0.006538
0.000000 0.000000
0.000000 -0.000000
0.050000 -0.006538
0.100000 -0.009000
0.150000 -0.010712
0.200000 -0.012000
0.250000 -0.012990
0.300000 -0.013748
0.350000 -0.014309
0.400000 -0.014697
0.450000 -0.014925
0.500000 -0.015000
0.550000 -0.014925
0.600000 -0.014697
0.650000 -0.014309
0.700000 -0.013748
0.750000 -0.012990
0.800000 -0.012000
0.850000 -0.010712
0.900000 -0.009000
0.950000 -0.006538
1.000000 -0.000000
