x_m,span_m,side,p_fluent,q_fluent,cp_v1,cp_v2,p_e_v1,p_e_v2,q_v1,q_v2,phi_rad,w_tr
-0.0089005719,0.02865207573007559,1,969.6939181,115761.4101,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008904943428,0.02865103933623249,1,968.49315,115035.3669,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008909060261,0.028650046796356368,1,967.4136496,114679.8369,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008912927124,0.028649280208497913,1,966.255642,114578.8395,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008916514775,0.028648693076563595,1,965.0352763,114688.616,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008919770291,0.028648099225248125,1,964.1035511,114687.8014,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008922772911,0.028647686104493617,1,963.3551328,114805.9746,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008925427948,0.028647301469623663,1,962.4541068,114698.1532,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008927833604,0.02864701487913424,1,961.0576496,114460.9237,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008929896302,0.02864678511823159,1,958.9442597,114210.8618,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008931719841,0.028646526784350788,1,956.8098146,114012.735,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008933221552,0.028646410368347554,1,954.456532,113963.756,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.00893443377,0.028646257299725954,1,952.2779892,113691.7997,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.00893535001,0.028646248988419786,1,950.1545908,113413.105,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008935971492,0.028646329189471794,1,947.7254516,113052.8707,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008936275839,0.02864638982201602,1,944.7795123,112672.7814,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008936245673,0.028646420267078275,0,941.3858018,112352.5386,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008935884721,0.028646384431365607,0,937.639537,111973.9109,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008935179058,0.028646466751282074,0,933.4259715,111698.7229,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008934167443,0.02864661407702756,0,929.0749695,111322.2901,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008932796457,0.028646821551234613,0,924.9061546,110905.7547,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008931141505,0.028647169752502834,0,920.4736857,110577.8873,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008929169749,0.02864748812981121,0,915.8096848,110090.273,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008926862122,0.02864795202758441,0,911.0681701,109663.6089,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008924255469,0.028648534485089108,0,906.3592843,109276.7438,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008921316323,0.02864910456206228,0,901.9018197,108830.8413,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008918039114,0.02864987284703491,0,897.2382897,108518.6963,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
-0.008914489532,0.02865069655889677,0,892.3949735,108091.4399,1.4144904260751383,0.18449696436897262,4882.000936458435,603.577072590049,568033.9943737086,557687.965544736,0.5627345990182011,0.0
