case_id,region,side,i_x,j_span,x_m,y_m,z_m,valid_mask,is_leading_edge_near,is_cap_mask,is_true_nose_cap,is_index0,included_in_tauber_audit,excluded_reason,local_sweep_deg,Ma_inf,Ma_normal_eff,R_curv_local_m,R_curv_status,R_curv_estimation_method,x_phys_baseline_m,q_lam_baseline,q_tauber_ref_readonly,q_tauber_over_baseline,tauber_direction_sign
ma6_a5_h30km,windward_body,windward,20,0,0.8991490948189427,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.8991490948189427,37998.6229410283,nan,nan,nan
ma6_a5_h30km,windward_body,windward,21,0,0.9441466099052936,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.9441466099052936,37082.85890009332,nan,nan,nan
ma6_a5_h30km,windward_body,windward,22,0,0.9891441249916447,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.9891441249916447,36230.26541711981,nan,nan,nan
ma6_a5_h30km,windward_body,windward,23,0,1.0341416400779957,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.0341416400779957,35433.89859901958,nan,nan,nan
ma6_a5_h30km,windward_body,windward,24,0,1.0791391551643468,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.0791391551643468,34687.83823155749,nan,nan,nan
ma6_a5_h30km,windward_body,windward,25,0,1.1241366702506974,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.1241366702506974,33987.0015790089,nan,nan,nan
ma6_a5_h30km,windward_body,windward,26,0,1.1691341853370485,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.1691341853370485,33326.99697305292,nan,nan,nan
ma6_a5_h30km,windward_body,windward,27,0,1.2141317004233996,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.2141317004233996,32704.007517648377,nan,nan,nan
ma6_a5_h30km,windward_body,windward,28,0,1.2591292155097504,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.2591292155097504,32114.69785243468,nan,nan,nan
ma6_a5_h30km,windward_body,windward,29,0,1.3041267305961015,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.3041267305961015,31556.138759190268,nan,nan,nan
ma6_a5_h30km,windward_body,windward,30,0,1.3491242456824524,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.3491242456824524,31025.74571131146,nan,nan,nan
ma6_a5_h30km,windward_body,windward,31,0,1.3941217607688032,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.3941217607688032,30521.228417911847,nan,nan,nan
ma6_a5_h30km,windward_body,windward,32,0,1.4391192758551543,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.4391192758551543,30040.549110893866,nan,nan,nan
ma6_a5_h30km,windward_body,windward,33,0,1.4841167909415052,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.4841167909415052,29581.887839182353,nan,nan,nan
ma6_a5_h30km,windward_body,windward,34,0,1.5291143060278563,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.5291143060278563,29143.613420181202,nan,nan,nan
ma6_a5_h30km,windward_body,windward,35,0,1.574111821114207,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.574111821114207,28724.258989964186,nan,nan,nan
ma6_a5_h30km,windward_body,windward,36,0,1.619109336200558,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.619109336200558,28322.501315840753,nan,nan,nan
ma6_a5_h30km,windward_body,windward,37,0,1.664106851286909,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.664106851286909,27937.143205673216,nan,nan,nan
ma6_a5_h30km,windward_body,windward,38,0,1.7091043663732601,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.7091043663732601,27567.09848060147,nan,nan,nan
ma6_a5_h30km,windward_body,windward,39,0,1.754101881459611,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.754101881459611,27211.379081086387,nan,nan,nan
ma6_a5_h30km,windward_body,windward,40,0,1.7990993965459618,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.7990993965459618,26869.083957351824,nan,nan,nan
ma6_a5_h30km,aft_body,windward,41,0,1.8440969116323132,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.8440969116323132,26539.38945953907,nan,nan,nan
ma6_a5_h30km,aft_body,windward,42,0,1.8890944267186638,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.8890944267186638,26221.540994039908,nan,nan,nan
ma6_a5_h30km,aft_body,windward,43,0,1.9340919418050146,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.9340919418050146,25914.84575345418,nan,nan,nan
ma6_a5_h30km,aft_body,windward,44,0,1.979089456891366,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,1.979089456891366,25618.66636063387,nan,nan,nan
ma6_a5_h30km,aft_body,windward,45,0,2.0240869719777166,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.0240869719777166,25332.415294018865,nan,nan,nan
ma6_a5_h30km,aft_body,windward,46,0,2.069084487064068,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.069084487064068,25055.54998324325,nan,nan,nan
ma6_a5_h30km,aft_body,windward,47,0,2.1140820021504187,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.1140820021504187,24787.568481805312,nan,nan,nan
ma6_a5_h30km,aft_body,windward,48,0,2.15907951723677,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.15907951723677,24528.005638236278,nan,nan,nan
ma6_a5_h30km,aft_body,windward,49,0,2.2040770323231205,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.2040770323231205,24276.429699292075,nan,nan,nan
ma6_a5_h30km,aft_body,windward,50,0,2.2490745474094713,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.2490745474094713,24032.439288715093,nan,nan,nan
ma6_a5_h30km,aft_body,windward,51,0,2.2940720624958226,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.2940720624958226,23795.660713457342,nan,nan,nan
ma6_a5_h30km,aft_body,windward,52,0,2.3390695775821735,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.3390695775821735,23565.74555622926,nan,nan,nan
ma6_a5_h30km,aft_body,windward,53,0,2.384067092668525,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.384067092668525,23342.36851908823,nan,nan,nan
ma6_a5_h30km,aft_body,windward,54,0,2.4290646077548756,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.4290646077548756,23125.225487704996,nan,nan,nan
ma6_a5_h30km,aft_body,windward,55,0,2.474062122841226,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.474062122841226,22914.031790105797,nan,nan,nan
ma6_a5_h30km,aft_body,windward,56,0,2.5190596379275774,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.5190596379275774,22708.52062721362,nan,nan,nan
ma6_a5_h30km,aft_body,windward,57,0,2.5640571530139282,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.5640571530139282,22518.379914281148,nan,nan,nan
ma6_a5_h30km,aft_body,windward,58,0,2.6090546681002795,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.6090546681002795,22323.411916309135,nan,nan,nan
ma6_a5_h30km,aft_body,windward,59,0,2.6540521831866304,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.6540521831866304,22133.421976861206,nan,nan,nan
ma6_a5_h30km,aft_body,windward,60,0,2.6990496982729812,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.6990496982729812,21948.201800277526,nan,nan,nan
ma6_a5_h30km,aft_body,windward,61,0,2.744047213359332,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.744047213359332,21767.555092099326,nan,nan,nan
ma6_a5_h30km,aft_body,windward,62,0,2.789044728445683,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.789044728445683,21591.296684432808,nan,nan,nan
ma6_a5_h30km,aft_body,windward,63,0,2.8340422435320343,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.8340422435320343,21419.25173797996,nan,nan,nan
ma6_a5_h30km,aft_body,windward,64,0,2.879039758618385,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.879039758618385,21251.255012918627,nan,nan,nan
ma6_a5_h30km,aft_body,windward,65,0,2.924037273704736,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,2.924037273704736,21087.15020171958,nan,nan,nan
