point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
10,windward,1,6.0,5.0,30.0,300.0,0.44917394395543314,0.0,0.125,0.0,1,342447.4394885466,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,53738.167914703634,342447.4394885466,nan,nan,1.0,1585151.9492936896,1055833.5299690112
11,windward,1,6.0,5.0,30.0,300.0,0.49417145904178417,0.0,0.1375,0.0,1,335981.51669631375,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,51237.33272126774,335981.51669631375,nan,nan,1.0,1743667.1442230584,1055833.5299690112
12,windward,1,6.0,5.0,30.0,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,330185.2541697498,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,49056.011276472556,330185.2541697498,nan,nan,1.0,1902182.3391524279,1055833.5299690112
13,windward,1,6.0,5.0,30.0,300.0,0.584166489214486,0.0,0.1625,0.0,1,324941.5537964359,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,47131.49111245852,324941.5537964359,nan,nan,1.0,2060697.5340817962,1055833.5299690112
14,windward,1,6.0,5.0,30.0,300.0,0.629164004300837,0.0,0.17500000000000002,0.0,1,320160.91771399265,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,45417.04125442724,320160.91771399265,nan,nan,1.0,2219212.7290111654,1055833.5299690112
15,windward,1,6.0,5.0,30.0,300.0,0.6741615193871879,0.0,0.1875,0.0,1,315773.49321904895,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,43877.03036767555,315773.49321904895,nan,nan,1.0,2377727.923940534,1055833.5299690112
16,windward,1,6.0,5.0,30.0,300.0,0.7191590344735389,0.0,0.2,0.0,1,311723.7748753938,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,42483.75197376113,311723.7748753938,nan,nan,1.0,2536243.118869903,1055833.5299690112
17,windward,1,6.0,5.0,30.0,300.0,0.7641565495598899,0.0,0.21250000000000002,0.0,1,307966.9692001952,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,41215.2933553788,307966.9692001952,nan,nan,1.0,2694758.3137992723,1055833.5299690112
18,windward,1,6.0,5.0,30.0,300.0,0.8091540646462407,0.0,0.225,0.0,1,304466.43512453145,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,40054.06548119182,304466.43512453145,nan,nan,1.0,2853273.5087286406,1055833.5299690112
19,windward,1,6.0,5.0,30.0,300.0,0.8541515797325918,0.0,0.23750000000000002,0.0,1,301191.8410297167,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,38985.764546541344,301191.8410297167,nan,nan,1.0,3011788.70365801,1055833.5299690112
20,windward,1,6.0,5.0,30.0,300.0,0.8991490948189427,0.0,0.25,0.0,1,298117.8113460696,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,37998.6229410283,298117.8113460696,nan,nan,1.0,3170303.898587378,1055833.5299690112
