point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,leeward,-1,6.0,5.0,30.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,37594.32593025577,1063739.3012595254
1,leeward,-1,6.0,5.0,30.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,156747.75219762948,1057468.8776480844
2,leeward,-1,6.0,5.0,30.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,337456.32742692623,1001479.3035642334
3,leeward,-1,6.0,5.0,30.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,496916.91346095636,1016294.0239313216
4,leeward,-1,6.0,5.0,30.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,656747.4704883845,1024469.3914875614
5,leeward,-1,6.0,5.0,30.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,792575.9746468446,1055833.5299690112
6,leeward,-1,6.0,5.0,30.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,951091.1695762139,1055833.5299690112
7,leeward,-1,6.0,5.0,30.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,0.0,1109606.3645055827,1055833.5299690112
8,leeward,-1,6.0,5.0,30.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,1268121.5594349515,1055833.5299690112
9,leeward,-1,6.0,5.0,30.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,1426636.7543643203,1055833.5299690112
10,leeward,-1,6.0,5.0,30.0,300.0,0.44917394395543314,0.0,0.125,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,1585151.9492936896,1055833.5299690112
11,leeward,-1,6.0,5.0,30.0,300.0,0.49417145904178417,0.0,0.1375,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,1743667.1442230584,1055833.5299690112
12,leeward,-1,6.0,5.0,30.0,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,1902182.3391524279,1055833.5299690112
13,leeward,-1,6.0,5.0,30.0,300.0,0.584166489214486,0.0,0.1625,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2060697.5340817962,1055833.5299690112
14,leeward,-1,6.0,5.0,30.0,300.0,0.629164004300837,0.0,0.17500000000000002,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2219212.7290111654,1055833.5299690112
15,leeward,-1,6.0,5.0,30.0,300.0,0.6741615193871879,0.0,0.1875,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2377727.923940534,1055833.5299690112
16,leeward,-1,6.0,5.0,30.0,300.0,0.7191590344735389,0.0,0.2,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2536243.118869903,1055833.5299690112
17,leeward,-1,6.0,5.0,30.0,300.0,0.7641565495598899,0.0,0.21250000000000002,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2694758.3137992723,1055833.5299690112
18,leeward,-1,6.0,5.0,30.0,300.0,0.8091540646462407,0.0,0.225,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,2853273.5087286406,1055833.5299690112
19,leeward,-1,6.0,5.0,30.0,300.0,0.8541515797325918,0.0,0.23750000000000002,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3011788.70365801,1055833.5299690112
20,leeward,-1,6.0,5.0,30.0,300.0,0.8991490948189427,0.0,0.25,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3170303.898587378,1055833.5299690112
21,leeward,-1,6.0,5.0,30.0,300.0,0.9441466099052936,0.0,0.2625,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3328819.0935167475,1055833.5299690112
22,leeward,-1,6.0,5.0,30.0,300.0,0.9891441249916447,0.0,0.275,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3487334.2884461167,1055833.5299690112
23,leeward,-1,6.0,5.0,30.0,300.0,1.0341416400779957,0.0,0.28750000000000003,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3645849.4833754865,1055833.5299690112
24,leeward,-1,6.0,5.0,30.0,300.0,1.0791391551643468,0.0,0.30000000000000004,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3804364.6783048557,1055833.5299690112
25,leeward,-1,6.0,5.0,30.0,300.0,1.1241366702506974,0.0,0.3125,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,3962879.8732342236,1055833.5299690112
26,leeward,-1,6.0,5.0,30.0,300.0,1.1691341853370485,0.0,0.325,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4121395.0681635924,1055833.5299690112
27,leeward,-1,6.0,5.0,30.0,300.0,1.2141317004233996,0.0,0.3375,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4279910.263092962,1055833.5299690112
28,leeward,-1,6.0,5.0,30.0,300.0,1.2591292155097504,0.0,0.35000000000000003,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4438425.458022331,1055833.5299690112
29,leeward,-1,6.0,5.0,30.0,300.0,1.3041267305961015,0.0,0.36250000000000004,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4596940.6529517,1055833.5299690112
30,leeward,-1,6.0,5.0,30.0,300.0,1.3491242456824524,0.0,0.375,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4755455.847881068,1055833.5299690112
31,leeward,-1,6.0,5.0,30.0,300.0,1.3941217607688032,0.0,0.3875,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,4913971.042810436,1055833.5299690112
32,leeward,-1,6.0,5.0,30.0,300.0,1.4391192758551543,0.0,0.4,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,5072486.237739806,1055833.5299690112
33,leeward,-1,6.0,5.0,30.0,300.0,1.4841167909415052,0.0,0.41250000000000003,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,5231001.432669175,1055833.5299690112
34,leeward,-1,6.0,5.0,30.0,300.0,1.5291143060278563,0.0,0.42500000000000004,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,5389516.627598545,1055833.5299690112
35,leeward,-1,6.0,5.0,30.0,300.0,1.574111821114207,0.0,0.4375,0.0,1,3789.220386570911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.422394479651187e-05,16787.501169976607,1.0,5548031.822527912,1055833.5299690112
