model,cp_rmse,cp_ratio,p_ratio,p_mae
baseline_Busemann,0.33803700856567864,5.166571777339455,4.092410781624577,16996.93337194755
A_global_scale,0.10926306153125899,1.5123015487487024,1.3372763518175312,3869.06680826278
B_x_relaxation,0.09182183636376483,1.372987694175466,1.2699594503866154,3262.3934727672263
C_region_relax,0.10078804290416736,1.0,0.9697064266557529,2950.8982773039515
D_newtonian_fit,0.11101940933408744,1.2056848845897883,1.1041604825360503,3684.1788259728514
E_linear_reg,0.09162858706290673,1.2671562111842525,1.1828798652002797,2867.6995715747844
