case,arm,region,side,n_aligned,lam_count,turb_count,turb_fraction,q_ratio_mean,q_ratio_median,q_ratio_std,q_ratio_iqr,lam_q_ratio_mean,turb_q_ratio_mean,p_ratio_mean,spearman_x_qratio
ma6_a5_h30km,C_smoothstep,windward_body,windward,251,362,0,0.0,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,C_smoothstep,aft_body,windward,499,767,46,0.056580565805658053,0.4797838271313365,0.4027775114037857,0.19280272831327927,0.0926319088191977,0.4797838271313365,nan,1.434244638982041,0.09743342105898543
ma8_a5_h30km,C_smoothstep,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,C_smoothstep,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,C_smoothstep,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,C_smoothstep,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,C_smoothstep,aft_body,windward,499,813,0,0.0,0.5332552183571411,0.5328310558734625,0.1268393972950078,0.1544022075878307,0.5332552183571411,nan,1.665687837019734,-0.25779916459424873
ma6_a5_h30km,C_logistic,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,C_logistic,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,C_logistic,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,C_logistic,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,C_logistic,aft_body,windward,499,317,496,0.6100861008610086,0.9224776069983827,0.7098550493154545,0.587546269938433,0.8529429980821555,0.4059340087108807,1.4494775534293565,1.434244638982041,0.23788618200255934
ma8_a5_h30km,C_logistic,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,C_logistic,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,C_logistic,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,C_logistic,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,C_logistic,aft_body,windward,499,586,227,0.27921279212792127,0.7004699037856409,0.5419967724351994,0.48372625060763497,0.17502483863103335,0.5291967425290501,1.8857889245455384,1.665687837019734,-0.05832773981698335
ma6_a5_h30km,D_local,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,D_local,true_nose_cap,windward,8,8,0,0.0,1.8819971580149994,1.8589934722946213,0.2038977491808145,0.386313760804748,1.8819971580149994,nan,1.3293773708096528,-0.6190476190476191
ma6_a5_h30km,D_local,leading_edge_near,windward,1700,2054,1,0.00048661800486618007,0.6542222567210616,0.5788366477777781,0.33525421480355555,0.22980985616288208,0.653384524072372,2.077530026844905,1.3889134878337501,-0.15742688171012373
ma6_a5_h30km,D_local,windward_body,windward,251,352,10,0.027624309392265192,0.6421346265700497,0.5035600857988173,0.32159282296578123,0.39454200841692133,0.6287182539391972,3.9962277842831964,1.4393226391724916,-0.69363536330867
ma6_a5_h30km,D_local,aft_body,windward,499,157,656,0.8068880688806888,1.7325002922542736,1.89910676437641,0.8633207762241742,0.38421737094168984,0.39021485405850165,2.1482212416167434,1.434244638982041,0.24523108868339083
ma8_a5_h30km,D_local,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,D_local,true_nose_cap,windward,8,8,0,0.0,2.384430971250101,2.3822824777312954,0.2601032589840487,0.4373195448329841,2.384430971250101,nan,1.4419460835385882,-0.3333333333333334
ma8_a5_h30km,D_local,leading_edge_near,windward,1700,2055,0,0.0,0.8461843130174678,0.7582746815981689,0.41488427491869523,0.2685795730858056,0.8461843130174678,nan,1.5751977483114052,-0.14238809719880627
ma8_a5_h30km,D_local,windward_body,windward,251,362,0,0.0,0.8655901616650833,0.7080642420652095,0.33889033752582787,0.5599107394378005,0.8655901616650833,nan,1.6820066686545523,-0.6472236767216847
ma8_a5_h30km,D_local,aft_body,windward,499,480,333,0.4095940959409594,1.1816790187228785,0.5257605975785226,1.096568251194016,1.6640119589309061,0.5094331871577983,2.7457709868309648,1.665687837019734,0.20048424559963296
ma6_a5_h30km,D_global,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
