region,valid_count,Taw_lam_mean,Taw_turb_mean,Taw_mean,T0_edge_mean,r_eff_mean
leading_edge_near,320,1629.9808161236247,1702.0329187325915,1629.9808161236247,1858.5299999999988,0.8485281374238569
windward_body,2240,1628.5783895567372,1701.0726192439324,1635.2220167930718,1858.5299999999993,0.8529196906599467
aft_body,680,1628.7207709475742,1701.1701136725496,1659.9775712327762,1858.5299999999993,0.8691742060928971
global_valid_windward,3240,1628.7467833367289,1701.1879254315345,1639.8999775352866,1858.5299999999993,0.8558973985176188
