point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,leeward,-1,8.0,10.0,50.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,978.781659300182,421521.09196114546
1,leeward,-1,8.0,10.0,50.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,4002.7399216252966,417119.849031717
2,leeward,-1,8.0,10.0,50.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,7836.3320529370585,396812.30904265266
3,leeward,-1,8.0,10.0,50.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,11876.505044429685,401804.7040890267
4,leeward,-1,8.0,10.0,50.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,15960.65039191492,404491.745212233
5,leeward,-1,8.0,10.0,50.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,20403.267500896432,415965.71369357785
6,leeward,-1,8.0,10.0,50.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,24483.921001075727,415965.71369357785
7,leeward,-1,8.0,10.0,50.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,28564.574501255014,415965.71369357785
8,leeward,-1,8.0,10.0,50.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,32645.228001434298,415965.71369357785
9,leeward,-1,8.0,10.0,50.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,36725.88150161358,415965.71369357785
10,leeward,-1,8.0,10.0,50.0,300.0,0.44917394395543314,0.0,0.125,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,40806.53500179287,415965.71369357785
11,leeward,-1,8.0,10.0,50.0,300.0,0.49417145904178417,0.0,0.1375,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,44887.18850197217,415965.71369357785
12,leeward,-1,8.0,10.0,50.0,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,48967.84200215144,415965.71369357785
13,leeward,-1,8.0,10.0,50.0,300.0,0.584166489214486,0.0,0.1625,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,53048.49550233072,415965.71369357785
14,leeward,-1,8.0,10.0,50.0,300.0,0.629164004300837,0.0,0.17500000000000002,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,57129.14900251,415965.71369357785
15,leeward,-1,8.0,10.0,50.0,300.0,0.6741615193871879,0.0,0.1875,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,61209.80250268931,415965.71369357785
16,leeward,-1,8.0,10.0,50.0,300.0,0.7191590344735389,0.0,0.2,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,65290.456002868596,415965.71369357785
17,leeward,-1,8.0,10.0,50.0,300.0,0.7641565495598899,0.0,0.21250000000000002,0.0,1,1767.1969955545587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001988313858418776,907.4181645777146,0.0,69371.10950304788,415965.71369357785
