x_low,x_high,x_mid,count,p_fluent_mean,p_f3_mean,p_ratio_mean,q_fluent_mean,q_f3_mean,q_ratio_mean,cp_f3_mean,cp_fluent_mean,cp_ratio_mean,phi_f3_deg,w_tr_mean
-0.02058870267,0.21848045024133333,0.09894587378566666,3993,6889.612276306787,14416.695908780388,2.6079801611153908,161205.3807478437,495226.74995586707,3.185640931768624,0.4486444808794915,0.1936846518712082,3.2125607792038617,18.816735729677895,0.0
0.21848045024133333,0.45754960315266663,0.338015026697,1618,4762.0546837237325,15500.688313690755,3.7175207627586717,155258.50327114956,150184.1230613718,1.331418176173814,0.48536182476682127,0.12161932796939458,5.061001021933553,19.5771064042486,0.05377008652657602
0.45754960315266663,0.6966187560639999,0.5770841796083332,1016,4664.121789184055,15396.74582396943,3.7664680076810977,151023.51028603344,203928.7409835716,2.2174242978124914,0.4818410508921014,0.118302113060502,5.168161069610721,19.495215322701036,0.2795275590551181
0.6966187560639999,0.9356879089753333,0.8161533325196666,539,4460.3510827736545,14829.420783913045,3.7581164062489187,142664.582494026,229748.59832176042,2.4147608666017883,0.4626244323094593,0.11139992530757817,5.235583728756103,19.0964459398137,0.4137291280148423
0.9356879089753333,1.1747570618866665,1.055222485431,350,4273.191027137143,14511.986101187367,3.809670532444943,134174.00764822858,232362.59942595047,2.4856499061458517,0.45187218132079304,0.10506037892916437,5.400855550246086,18.86225532194495,0.4857142857142857
1.1747570618866665,1.4138262147979999,1.294291638342333,300,4091.2178568533336,14318.165194073983,3.896657616355287,126849.3837439,232562.8210249426,2.59718297178172,0.4453070164111509,0.09889652442122548,5.629846193905178,18.714655542823277,0.5266666666666666
1.4138262147979999,1.6528953677093332,1.5333607912536666,250,3912.884458524,14156.029568808137,3.997635723464413,119722.99987448001,219646.4704479905,2.609259071858483,0.4398151056908302,0.09285595745471087,5.891540615488381,18.575459639966304,0.524
1.6528953677093332,1.8919645206206666,1.7724299441649998,200,3755.48903315,14165.77817799107,4.109023931338909,113732.36745979998,224496.39688407592,2.82301002921595,0.44014531375702276,0.08752460832941181,6.163101734989077,18.562945141729152,0.58
1.8919645206206666,2.131033673532,2.0114990970763333,150,3627.1765304399996,13648.139015676925,4.1402601035250575,108743.2427404,225637.26313806573,2.9160894423327903,0.42261167141216766,0.08317836543536075,6.356828954882513,18.182537187937825,0.5866666666666667
2.131033673532,2.370102826443333,2.2505682499876665,200,3454.4178894,12821.564426861032,4.088122972582674,103629.93010705,209891.23361178918,2.877293130587259,0.3946136676543914,0.0773266284639214,6.462459569155692,17.560251692830327,0.585
2.370102826443333,2.6091719793546666,2.4896374028989996,150,2970.855833186667,12844.504549829442,4.447539111374542,87125.17336426668,219103.02495172893,3.0297342271051546,0.3953907029731198,0.06094725695871477,7.0066446089340815,17.57362821955121,0.5933333333333334
2.6091719793546666,2.8482411322659997,2.728706555810333,200,2828.666308195,12994.271381885004,4.5971112423652665,80816.60989200001,207241.22718080497,2.8703606136235877,0.40046365390025734,0.0561309670450167,7.159203166231755,17.721672667559215,0.625
2.8482411322659997,3.0873102851773333,2.9677757087216667,283,2794.995076515901,12985.579690995803,4.650304692360958,82037.21253526503,211637.64544542576,2.8547316202379136,0.4001692461148378,0.05499044411600812,7.309392581515847,17.714356499836843,0.6325088339222615
3.0873102851773333,3.3263794380886664,3.206844861633,367,2789.020011749318,13048.413322134818,4.682083329419632,80313.49988735694,208253.89774850916,2.8729168608433184,0.40229756733901806,0.0547880547756494,7.372699896672996,17.76544220570864,0.659400544959128
3.3263794380886664,3.565448591,3.445914014544333,799,2772.9874967158944,12988.055071497478,4.688412169240693,80129.98271035044,206744.92654171723,2.845375889735175,0.4002530930096319,0.054244996203288195,7.413391516055276,17.71697653298251,0.6445556946182729
