case,region,side,x_m,x_over_c,span_m,x_phys_used,Re_x_star_lam,Re_x_star_turb,re_tri,re_x_over_re_tri,w_tr,q_lam,q_turb,q_LF,q_Fluent,q_ratio,p_e,p_ratio,h_r_lam_minus_h_w,h_r_turb_minus_h_w,rho_star_lam_over_rho_e,mu_star_lam_over_mu_e,rho_star_turb_over_rho_e,mu_star_turb_over_mu_e,q_turb_over_q_lam,turb_branch_active,distance_from_transition
ma6_a5_h30km,windward_body,windward,0.44917394395543314,0.125,0.0,0.45,628818.7873938788,nan,2339842.1245191656,0.2687441091877514,0.0,47345.7445855938,182282.73055226298,47345.7445855938,49880.40275,0.9491852907220922,4221.220683111965,1.3550897529300236,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.8500340874927828,0,nan
ma6_a5_h30km,windward_body,windward,0.49417145904178417,0.1375,0.0,0.49500000000000005,691700.6661332666,nan,2339842.1245191656,0.2956185201065265,0.0,45142.39622234074,178840.9583963122,45142.39622234074,49928.42577,0.9041421900681076,4221.220683111965,1.361962613120166,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.9617072499976134,0,nan
ma6_a5_h30km,windward_body,windward,0.5391689741281351,0.15000000000000002,0.0,0.5400000000000001,754582.5448726547,nan,2339842.1245191656,0.32249293102530174,0.0,43220.55385234634,175755.64240762265,43220.55385234634,49764.74771,0.8684973970773565,4221.220683111965,1.383379591965853,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,4.066482882381695,0,nan
ma6_a5_h30km,windward_body,windward,0.584166489214486,0.1625,0.0,0.5850000000000001,817464.4236120423,nan,2339842.1245191656,0.34936734194407676,0.0,41524.9649688574,172964.4519590296,41524.9649688574,47979.02922,0.8654815581709971,4221.220683111965,1.3941746442167318,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,4.165312411190431,0,nan
ma6_a5_h30km,windward_body,windward,0.629164004300837,0.17500000000000002,0.0,0.6300000000000001,880346.3023514304,nan,2339842.1245191656,0.37624175286285194,0.0,40014.45747980422,170419.74787192667,40014.45747980422,46253.50313,0.865111932545729,4221.220683111965,1.4001470740661812,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,4.258954353134478,0,nan
ma6_a5_h30km,windward_body,windward,0.7191590344735389,0.2,0.0,0.7200000000000001,1006110.059830206,nan,2339842.1245191656,0.42999057470040214,0.0,37430.097601765316,165928.70703664923,37430.097601765316,43833.76431,0.853910180678373,4221.220683111965,1.4095381775379696,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,4.433028970483463,0,nan
ma6_a5_h30km,cap_mask,windward,0.013652222727272725,0.0,0.025775674999999998,0.0,14870.493040774985,nan,2349013.553795091,0.006330526708434722,0.0,305533.3919144358,382037.4088139897,740608.3059971473,86059.45977,8.60577451887887,4176.663418871034,1.0675348100799473,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,1.2503949451161096,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.05846906994318182,0.0125,0.025775674999999998,0.045000000000000005,58003.643408394084,nan,2344320.2581466497,0.024742201159089948,0.0,155307.32098883518,292323.04104187834,155307.32098883518,68825.14216,2.256549221907705,4199.37934140972,1.1943811860225468,1336040.7609245176,1408639.113800843,0.5712941797405385,1.4761800507723752,0.5566783328247377,1.5013584447748451,1.882223189355594,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.10328591715909091,0.025,0.025775674999999998,0.09000000000000001,123798.33028094955,nan,2252268.477682681,0.05496606266421819,0.0,115004.51562875707,275337.4891879357,115004.51562875707,57458.2533,2.0015317038667635,4683.5158015148945,1.515690511650994,1337707.6798164623,1409780.5221265014,0.5860628406796152,1.447894558237916,0.571256724524191,1.4722482702290987,2.394145027111328,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.14810276437500003,0.037500000000000006,0.025775674999999998,0.13500000000000004,184499.59586234036,nan,2275547.631594331,0.08107920629772679,0.0,92317.11328254017,248287.19800386915,92317.11328254017,53097.18636,1.7386441657497305,4553.760657516317,1.5269257263014637,1337273.4797667079,1409483.207389602,0.582231949021379,1.455088515107127,0.5674742676383022,1.4796523851526515,2.6895034861410405,0,nan
ma6_a5_h30km,windward_body,windward,0.19291961159090912,0.05,0.025775674999999998,0.18000000000000002,247588.34690416427,nan,2281421.830970339,0.10852370374612375,0.0,79289.0354066317,232722.76936342468,79289.0354066317,51750.87343,1.5321294144702844,4521.838289283752,1.511594771327495,1337165.3060881281,1409409.1363967392,0.5812757929581563,1.4568994107760915,0.5665303009554462,1.4815161376162156,2.9351191898086815,0,nan
ma6_a5_h30km,windward_body,windward,0.2377364588068182,0.0625,0.025775674999999998,0.225,327059.6515953718,nan,2302039.1348879165,0.14207388859672707,0.0,67778.26794698971,215627.87557425437,67778.26794698971,51593.26154,1.313703881551306,4412.316290130217,1.465466514900682,1336789.9764844596,1409152.1326897421,0.5779527830569079,1.4632413612500108,0.5632499659920559,1.4880430568829588,3.1813718778252023,0,nan
ma6_a5_h30km,windward_body,windward,0.2825533060227273,0.07500000000000001,0.025775674999999998,0.2700000000000001,386678.5316085662,nan,2315812.633903909,0.16697315056819523,0.0,61609.49702167605,205697.85690019227,61609.49702167605,49657.9596,1.240677174776147,4341.270636149881,1.440038810487629,1336542.931887981,1408982.9710343124,0.5757609334609638,1.46746612296657,0.5610865300010879,1.4923909168286507,3.338736182634662,0,nan
