point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,w_tr,re_edge,re_tri
27,leeward,-1,8.3,2.2,56.7,300.0,1.2141317004233996,0.0,0.3375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,160460.62271409662,3195489.0411190134
28,leeward,-1,8.3,2.2,56.7,300.0,1.2591292155097504,0.0,0.35000000000000003,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,166403.60874054462,3195489.0411190134
29,leeward,-1,8.3,2.2,56.7,300.0,1.3041267305961015,0.0,0.36250000000000004,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,172346.59476699264,3195489.0411190134
30,leeward,-1,8.3,2.2,56.7,300.0,1.3491242456824524,0.0,0.375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,178289.5807934407,3195489.0411190134
31,leeward,-1,8.3,2.2,56.7,300.0,1.3941217607688032,0.0,0.3875,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,184232.5668198887,3195489.0411190134
32,leeward,-1,8.3,2.2,56.7,300.0,1.4391192758551543,0.0,0.4,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,190175.55284633674,3195489.0411190134
33,leeward,-1,8.3,2.2,56.7,300.0,1.4841167909415052,0.0,0.41250000000000003,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,196118.53887278476,3195489.0411190134
34,leeward,-1,8.3,2.2,56.7,300.0,1.5291143060278563,0.0,0.42500000000000004,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,202061.5248992328,3195489.0411190134
35,leeward,-1,8.3,2.2,56.7,300.0,1.574111821114207,0.0,0.4375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,208004.51092568078,3195489.0411190134
36,leeward,-1,8.3,2.2,56.7,300.0,1.619109336200558,0.0,0.45,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,213947.4969521288,3195489.0411190134
37,leeward,-1,8.3,2.2,56.7,300.0,1.664106851286909,0.0,0.4625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,219890.48297857682,3195489.0411190134
38,leeward,-1,8.3,2.2,56.7,300.0,1.7091043663732601,0.0,0.47500000000000003,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,225833.46900502485,3195489.0411190134
39,leeward,-1,8.3,2.2,56.7,300.0,1.754101881459611,0.0,0.48750000000000004,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,231776.4550314729,3195489.0411190134
40,leeward,-1,8.3,2.2,56.7,300.0,1.7990993965459618,0.0,0.5,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,237719.44105792092,3195489.0411190134
41,leeward,-1,8.3,2.2,56.7,300.0,1.8440969116323132,0.0,0.5125000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,243662.42708436894,3195489.0411190134
42,leeward,-1,8.3,2.2,56.7,300.0,1.8890944267186638,0.0,0.525,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,249605.4131108169,3195489.0411190134
43,leeward,-1,8.3,2.2,56.7,300.0,1.9340919418050146,0.0,0.5375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,255548.39913726493,3195489.0411190134
44,leeward,-1,8.3,2.2,56.7,300.0,1.979089456891366,0.0,0.55,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,261491.38516371304,3195489.0411190134
45,leeward,-1,8.3,2.2,56.7,300.0,2.0240869719777166,0.0,0.5625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,267434.371190161,3195489.0411190134
46,leeward,-1,8.3,2.2,56.7,300.0,2.069084487064068,0.0,0.5750000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,273377.35721660906,3195489.0411190134
47,leeward,-1,8.3,2.2,56.7,300.0,2.1140820021504187,0.0,0.5875,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,279320.3432430571,3195489.0411190134
48,leeward,-1,8.3,2.2,56.7,300.0,2.15907951723677,0.0,0.6000000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,285263.32926950505,3195489.0411190134
49,leeward,-1,8.3,2.2,56.7,300.0,2.2040770323231205,0.0,0.6125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,291206.3152959531,3195489.0411190134
50,leeward,-1,8.3,2.2,56.7,300.0,2.2490745474094713,0.0,0.625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,297149.30132240104,3195489.0411190134
51,leeward,-1,8.3,2.2,56.7,300.0,2.2940720624958226,0.0,0.6375000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,303092.2873488492,3195489.0411190134
52,leeward,-1,8.3,2.2,56.7,300.0,2.3390695775821735,0.0,0.65,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,309035.2733752972,3195489.0411190134
53,leeward,-1,8.3,2.2,56.7,300.0,2.384067092668525,0.0,0.6625000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,314978.2594017452,3195489.0411190134
54,leeward,-1,8.3,2.2,56.7,300.0,2.4290646077548756,0.0,0.675,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,320921.24542819324,3195489.0411190134
55,leeward,-1,8.3,2.2,56.7,300.0,2.474062122841226,0.0,0.6875,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,326864.2314546412,3195489.0411190134
56,leeward,-1,8.3,2.2,56.7,300.0,2.5190596379275774,0.0,0.7000000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,332807.21748108923,3195489.0411190134
57,leeward,-1,8.3,2.2,56.7,300.0,2.5640571530139282,0.0,0.7125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,338650.91096687433,3195516.0403750995
58,leeward,-1,8.3,2.2,56.7,300.0,2.6090546681002795,0.0,0.7250000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,344592.15501892474,3195516.0403750995
59,leeward,-1,8.3,2.2,56.7,300.0,2.6540521831866304,0.0,0.7375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,350533.39907097525,3195516.0403750995
60,leeward,-1,8.3,2.2,56.7,300.0,2.6990496982729812,0.0,0.75,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,356474.6431230256,3195516.0403750995
61,leeward,-1,8.3,2.2,56.7,300.0,2.744047213359332,0.0,0.7625000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,362415.88717507606,3195516.0403750995
62,leeward,-1,8.3,2.2,56.7,300.0,2.789044728445683,0.0,0.775,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,368357.13122712646,3195516.0403750995
63,leeward,-1,8.3,2.2,56.7,300.0,2.8340422435320343,0.0,0.7875000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,374298.375279177,3195516.0403750995
64,leeward,-1,8.3,2.2,56.7,300.0,2.879039758618385,0.0,0.8,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,380239.6193312274,3195516.0403750995
