region,valid_count,Taw_lam_mean,Taw_turb_mean,Taw_mean,T0_edge_mean,r_eff_mean
leading_edge_near,320,2719.172290652657,2847.9862447449545,2719.172290652657,3127.7699999999995,0.8485281374238569
windward_body,2240,2717.208140174722,2846.641309655914,2720.6072136018797,3127.7699999999995,0.8497859123798244
aft_body,680,2717.4098528077157,2846.779430640566,2749.301990658401,3127.7699999999995,0.8603258909490227
global_valid_windward,3240,2717.4444650955165,2846.8031311059312,2726.487853433572,3127.769999999999,0.8518737819604248
