case,idx,x_m,span_m,xc,region,q_w,q_lam_w,q_turb_w,w_tr,re_edge,re_x_star,re_tri,re_x_over_re_tri,T_e_w,p_e_w,rho_e_w,h_r_lam_w,h_r_turb_w,h_star_lam_w,q_Fluent_matched,p_Fluent_matched,q_ratio,p_ratio,dist,dx,dspan
ma6_a5_h30km,55,2.474062122841226,0.0,0.6875,aft_body,129620.28967827593,20188.293324076723,129620.28967827593,1.0,8917378.776609862,3458503.3306663325,2339842.1245191656,1.4780926005326323,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,56,2.5190596379275774,0.0,0.7000000000000001,aft_body,129154.01755500218,20007.22873990211,129154.01755500218,1.0,9079512.936184589,3521385.2094057216,2339842.1245191656,1.5049670114514078,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,57,2.5640571530139282,0.0,0.7125,aft_body,128719.77134361696,19839.792330664415,128719.77134361696,1.0,9233303.244435878,3581014.1972555406,2339851.9343912774,1.530444787818233,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,58,2.6090546681002795,0.0,0.7250000000000001,aft_body,128272.81689690161,19668.01600369886,128272.81689690161,1.0,9395291.02065405,3643839.007733708,2339851.9343912774,1.5572946963764476,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,59,2.6540521831866304,0.0,0.7375,aft_body,127835.01549598527,19500.62558938349,127835.01549598527,1.0,9557278.796872225,3706663.818211875,2339851.9343912774,1.5841446049346621,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,60,2.6990496982729812,0.0,0.75,aft_body,127406.02925608304,19337.43756907042,127406.02925608304,1.0,9719266.573090397,3769488.628690042,2339851.9343912774,1.6109945134928765,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,61,2.744047213359332,0.0,0.7625000000000001,aft_body,126985.53813590885,19178.27899775594,126985.53813590885,1.0,9881254.349308569,3832313.4391682097,2339851.9343912774,1.6378444220510913,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,62,2.789044728445683,0.0,0.775,aft_body,126573.23872095782,19022.986733483427,126573.23872095782,1.0,10043242.125526743,3895138.249646377,2339851.9343912774,1.6646943306093058,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,63,2.8340422435320343,0.0,0.7875000000000001,aft_body,126168.84310786959,18871.406734293523,126168.84310786959,1.0,10205229.901744919,3957963.0601245454,2339851.9343912774,1.6915442391675208,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,64,2.879039758618385,0.0,0.8,aft_body,125772.07788001644,18723.39341583384,125772.07788001644,1.0,10367217.677963091,4020787.8706027125,2339851.9343912774,1.7183941477257354,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,65,2.924037273704736,0.0,0.8125,aft_body,125382.6831655605,18578.809063538272,125382.6831655605,1.0,10529205.454181265,4083612.6810808796,2339851.9343912774,1.74524405628395,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,66,2.969034788791087,0.0,0.8250000000000001,aft_body,125000.41177018464,18437.523293980874,125000.41177018464,1.0,10691193.230399437,4146437.4915590473,2339851.9343912774,1.7720939648421647,346.3106174256874,4221.172657895118,0.042470308239337146,1637618.670065212,1710192.4614125735,608477.9151579351,nan,nan,nan,nan,nan,nan,nan
