case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e
ma6_a5_h30km,164,0.17828817521879156,0.051551349999999996,0.025,0.05,0.37137722496549785,0.11845063396382549,0.06460158433627157,4665.986812491669,3078.741173,1.5155502038987638,117429.17858689994,74452.38981,1.5772385397779074,117429.17858689994,0.04562094356793668,4.590868731360152
ma6_a5_h30km,165,0.22214345502367888,0.051551349999999996,0.037500000000000006,0.05,0.3646059891080185,0.1160822511612082,0.06207458380997397,4596.103671155004,3004.137482,1.529924545295828,94850.51356483238,68980.70805,1.375029573429152,94850.51356483238,0.04513184165339629,4.603123588890871
ma6_a5_h30km,166,0.2659987348285662,0.051551349999999996,0.05,0.05,0.3709179839792231,0.1182900040908517,0.06045049490668385,4661.247156341696,2956.190113,1.5767751660637854,82253.98330448945,59750.69232,1.376619753022628,82253.98330448945,0.045587837881207405,4.591693433962339
ma6_a5_h30km,243,0.16990694735399564,0.07732702500000001,0.0,0.07500000000000001,0.3239279312247761,0.10186716206770152,0.07035697896144527,4176.663418871034,3248.655535,1.285659059224029,165518.66658217614,95915.63915,1.7256692240076277,312417.0235496331,0.04214995354172714,4.681310973676283
ma6_a5_h30km,244,0.2127706105120707,0.07732702500000001,0.0125,0.07500000000000001,0.3239279312247761,0.10186716206770152,0.031634916881416564,4176.663418871034,2105.478585,1.9837121349163636,161065.7566276787,46238.80002,3.4833463791882955,161065.7566276787,0.04214995354172714,4.681310973676283
ma6_a5_h30km,245,0.25563427367014574,0.07732702500000001,0.025,0.07500000000000001,0.34980730532537563,0.11090708320922706,0.08116152673033089,4443.401585567483,3567.634156,1.2454756825597235,117294.73809107734,98459.70507,1.1912968661411951,117294.73809107734,0.04405563325881393,4.630636573711839
ma6_a5_h30km,246,0.2984979368282208,0.07732702500000001,0.037500000000000006,0.07500000000000001,0.36329387783101097,0.11562332573372741,0.07293677391088077,4582.5623000235355,3324.817856,1.3782897284895763,96564.57853159637,89368.70718,1.0805189151623618,96564.57853159637,0.045036822571381266,4.605522131119698
ma6_a5_h30km,247,0.3413615999862959,0.07732702500000001,0.05,0.07500000000000001,0.37931150061126884,0.12122570934535497,0.06359216880610721,4747.870106397119,3048.940576,1.5572196269649827,84308.43150330473,75878.7116,1.1110946631216223,84308.43150330473,0.04619137836666628,4.57676588844787
ma6_a5_h30km,248,0.3842252631443709,0.07732702500000001,0.0625,0.07500000000000001,0.37285884671403546,0.11896886197448243,0.06269610796260669,4681.278006665743,3022.486507,1.5488168419690296,74466.90358435716,75003.38393,0.9928472514501009,74466.90358435716,0.04572768451200976,4.588214375463933
ma6_a5_h30km,249,0.427088926302446,0.07732702500000001,0.07500000000000001,0.07500000000000001,0.3597304580137834,0.11437702931512525,0.06234917893060377,4545.7882157529075,3012.244251,1.5091034580757532,66658.9888383382,74030.4341,0.9004268264629588,66658.9888383382,0.04477837497146271,4.61207568576345
ma6_a5_h30km,324,0.24923627909897422,0.10310269999999999,0.0,0.1,0.3239279312247761,0.10186716206770152,0.16371605309137094,4176.663418871034,6004.860548,0.6955471131235726,164530.48660661327,196322.5287,0.8380621811266089,316094.71768311685,0.04214995354172714,4.681310973676283
