case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,in_cap_mask,mask_w,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e,w_tr
ma6_a5_h30km,164,0.17828817521879156,0.051551349999999996,0.025,0.05,0.37137722496549785,False,True,0.11845063396382549,0.06460158433627157,4665.986812491669,3078.741173,1.5155502038987638,117429.17858689994,74452.38981,1.5772385397779074,117429.17858689994,0.04562094356793668,4.590868731360152,0.0
ma6_a5_h30km,165,0.22214345502367888,0.051551349999999996,0.037500000000000006,0.05,0.3646059891080185,False,True,0.1160822511612082,0.06207458380997397,4596.103671155004,3004.137482,1.529924545295828,94850.51356483238,68980.70805,1.375029573429152,94850.51356483238,0.04513184165339629,4.603123588890871,0.0
ma6_a5_h30km,166,0.2659987348285662,0.051551349999999996,0.05,0.05,0.3709179839792231,False,True,0.1182900040908517,0.06045049490668385,4661.247156341696,2956.190113,1.5767751660637854,82253.98330448945,59750.69232,1.376619753022628,82253.98330448945,0.045587837881207405,4.591693433962339,0.0
ma6_a5_h30km,243,0.16990694735399564,0.07732702500000001,0.0,0.07500000000000001,0.3239279312247761,False,True,0.10186716206770152,0.13741340780580097,4176.663418871034,5228.337393,0.7988511652792324,165518.66658217614,138971.2893,1.1910277829031852,312417.0235496331,0.04214995354172714,4.681310973676283,0.0
ma6_a5_h30km,244,0.2127706105120707,0.07732702500000001,0.0125,0.07500000000000001,0.3239279312247761,False,True,0.10186716206770152,0.09306561842838171,4176.663418871034,3919.074201,1.065727058141769,161065.7566276787,106353.3623,1.5144397238081369,161065.7566276787,0.04214995354172714,4.681310973676283,0.0
ma6_a5_h30km,245,0.25563427367014574,0.07732702500000001,0.025,0.07500000000000001,0.34980730532537563,False,True,0.11090708320922706,0.08116152673033089,4443.401585567483,3567.634156,1.2454756825597235,117294.73809107734,98459.70507,1.1912968661411951,117294.73809107734,0.04405563325881393,4.630636573711839,0.0
ma6_a5_h30km,246,0.2984979368282208,0.07732702500000001,0.037500000000000006,0.07500000000000001,0.36329387783101097,False,True,0.11562332573372741,0.07293677391088077,4582.5623000235355,3324.817856,1.3782897284895763,96564.57853159637,89368.70718,1.0805189151623618,96564.57853159637,0.045036822571381266,4.605522131119698,0.0
ma6_a5_h30km,247,0.3413615999862959,0.07732702500000001,0.05,0.07500000000000001,0.37931150061126884,False,True,0.12122570934535497,0.06359216880610721,4747.870106397119,3048.940576,1.5572196269649827,84308.43150330473,75878.7116,1.1110946631216223,84308.43150330473,0.04619137836666628,4.57676588844787,0.0
ma6_a5_h30km,248,0.3842252631443709,0.07732702500000001,0.0625,0.07500000000000001,0.37285884671403546,False,True,0.11896886197448243,0.06269610796260669,4681.278006665743,3022.486507,1.5488168419690296,74466.90358435716,75003.38393,0.9928472514501009,74466.90358435716,0.04572768451200976,4.588214375463933,0.0
ma6_a5_h30km,249,0.427088926302446,0.07732702500000001,0.07500000000000001,0.07500000000000001,0.3597304580137834,False,True,0.11437702931512525,0.06234917893060377,4545.7882157529075,3012.244251,1.5091034580757532,66658.9888383382,74030.4341,0.9004268264629588,66658.9888383382,0.04477837497146271,4.61207568576345,0.0
ma6_a5_h30km,324,0.24923627909897422,0.10310269999999999,0.0,0.1,0.3239279312247761,False,True,0.10186716206770152,0.16371605309137094,4176.663418871034,6004.860548,0.6955471131235726,164530.48660661327,196322.5287,0.8380621811266089,316094.71768311685,0.04214995354172714,4.681310973676283,0.0
ma6_a5_h30km,325,0.29110832561023703,0.10310269999999999,0.0125,0.1,0.3239279312247761,False,True,0.10186716206770152,0.12335678474504104,4176.663418871034,4813.34897,0.8677250382016316,162961.7819515377,142128.4406,1.1465810872446713,162961.7819515377,0.04214995354172714,4.681310973676283,0.0
ma6_a5_h30km,326,0.3329803721214999,0.10310269999999999,0.025,0.1,0.3297036534088452,False,True,0.1038829721596966,0.10035294867020925,4236.14330591087,4134.215325,1.0246547344291677,116128.51686172289,120502.0186,0.9637059877578092,116128.51686172289,0.04257784206646726,4.669705799579432,0.0
ma6_a5_h30km,327,0.3748524186327627,0.10310269999999999,0.037500000000000006,0.1,0.35942975641827535,False,True,0.11427186384941262,0.0860099254413263,4542.685130771877,3710.771617,1.224188820988246,97758.83519135899,109901.3181,0.8895146744501055,97758.83519135899,0.04475653927110763,4.612631378972953,0.0
ma6_a5_h30km,328,0.4167244651440255,0.10310269999999999,0.05,0.1,0.384121645480356,False,True,0.12290788156348496,0.07652848206803933,4797.505443531927,3430.854512,1.398341266513002,85661.95956206386,104023.9976,0.8234826726372978,85661.95956206386,0.046535790814522575,4.568347805374917,0.0
ma6_a5_h30km,329,0.45859651165528836,0.10310269999999999,0.0625,0.1,0.3799069600270291,False,True,0.12143396106294004,0.07116463428792362,4754.014925637284,3272.499641,1.452716714182608,76506.81995500322,97858.6955,0.781809113273978,76506.81995500322,0.04623407197974813,4.57571845681536,0.0
ma6_a5_h30km,330,0.5004685581665511,0.10310269999999999,0.07500000000000001,0.1,0.3683912188086818,False,True,0.117406208910606,0.0629264048894475,4635.169284375424,3029.285477,1.5301196666897776,69195.65120731766,93627.25534,0.7390545729022933,69195.65120731766,0.045405516008183266,4.596247695092117,0.0
