case,n_solver,n_fluent,flt_q_max,flt_q_mean,flt_q_median,flt_q_p95,flt_q_p99,peak_x,peak_span,solver_center_q,solver_edge_q,kr_q_cap_center,kr_q_cap_edge,kr_vs_fluent_max,kr_vs_fluent_p99,kr_vs_fluent_mean,solver_center_vs_fluent_peak,nn_matched_q_ratio_mean,nn_matched_q_ratio_median,n_tnc_fluent,tnc_flt_q_max,tnc_flt_q_mean
ma6_a5_h30km,2,277,618231.1905,273724.9147077617,181608.7679,579455.25336,605047.44322,-0.02968751972,0.004263554571011489,745222.7326097641,150305.61131978803,745423.9212494486,736277.2690686733,1.205736515245341,1.2320090426006587,2.723259305954261,1.205411089024898,0.8161761615317747,0.6002961764542587,3519,603949.5289,182456.0594598522
ma8_a5_h30km,2,277,1440200.976,637851.5126740072,426451.775,1328338.956,1383608.0652400001,-0.02968751972,0.004263554571011489,1844349.0427603293,415202.8997927641,1844846.9637962552,1822209.947430695,1.2809649448510407,1.3333595041427058,2.8922828074237374,1.2806192146062878,0.8904614308798877,0.7395924617365487,3519,1355397.464,420103.37511133845
